"Step","hopeful-night-223 - eval/Achievements/defeat_zombie","hopeful-night-223 - eval/Achievements/defeat_zombie__MIN","hopeful-night-223 - eval/Achievements/defeat_zombie__MAX"
"0","0","0","0"
"615","0","0","0"
"1231","0","0","0"
"1847","0","0","0"
"2462","0","0","0"
"3078","0","0","0"
"3694","0","0","0"
"4310","0","0","0"
"4926","0","0","0"
"5541","0","0","0"
"6157","0","0","0"
"6773","0","0","0"
"7389","0","0","0"
"8005","0","0","0"
"8620","0","0","0"
"9236","0","0","0"
"9852","0","0","0"
"10467","0","0","0"
"11083","0","0","0"
"11699","0","0","0"
"12315","0","0","0"
"12931","0","0","0"
"13546","0","0","0"
"14162","0","0","0"
"14778","0","0","0"
"15394","0","0","0"
"16010","0","0","0"
"16625","0","0","0"
"17241","0","0","0"
"17857","0","0","0"
"18472","0.10869564861059189","0.10869564861059189","0.10869564861059189"
"19088","0.15748031437397003","0.15748031437397003","0.15748031437397003"
"19704","0.15267175436019897","0.15267175436019897","0.15267175436019897"
"20320","0.19656018912792206","0.19656018912792206","0.19656018912792206"
"20936","0.190476194024086","0.190476194024086","0.190476194024086"
"21551","0.23116043210029602","0.23116043210029602","0.23116043210029602"
"22167","0.2247191071510315","0.2247191071510315","0.2247191071510315"
"22783","0.2181500941514969","0.2181500941514969","0.2181500941514969"
"23399","0.29812607169151306","0.29812607169151306","0.29812607169151306"
"24015","0.2909393310546875","0.2909393310546875","0.2909393310546875"
"24630","0.28363046050071716","0.28363046050071716","0.28363046050071716"
"25246","0.2770083248615265","0.2770083248615265","0.2770083248615265"
"25862","0.27079305052757263","0.27079305052757263","0.27079305052757263"
"26477","0.30280089378356934","0.30280089378356934","0.30280089378356934"
"27093","0.2967359125614166","0.2967359125614166","0.2967359125614166"
"27709","0.32608696818351746","0.32608696818351746","0.32608696818351746"
"28325","0.31926214694976807","0.31926214694976807","0.31926214694976807"
"28941","0.41551247239112854","0.41551247239112854","0.41551247239112854"
"29556","0.441426157951355","0.441426157951355","0.441426157951355"
"30172","0.5986032485961914","0.5986032485961914","0.5986032485961914"
"30788","0.5882353186607361","0.5882353186607361","0.5882353186607361"
"31404","0.6097561120986938","0.6097561120986938","0.6097561120986938"
"32020","0.9119496941566467","0.9119496941566467","0.9119496941566467"
"32635","1.1695905923843384","1.1695905923843384","1.1695905923843384"
"33251","1.148036241531372","1.148036241531372","1.148036241531372"
"33867","1.3068013191223145","1.3068013191223145","1.3068013191223145"
"34482","1.4881820678710938","1.4881820678710938","1.4881820678710938"
"35098","1.5736767053604126","1.5736767053604126","1.5736767053604126"
"35714","1.547116756439209","1.547116756439209","1.547116756439209"
"36330","1.5461071729660034","1.5461071729660034","1.5461071729660034"
"36946","1.6251354217529297","1.6251354217529297","1.6251354217529297"
"37561","1.6822429895401","1.6822429895401","1.6822429895401"
"38177","1.7309205532073975","1.7309205532073975","1.7309205532073975"
"38793","1.8303686380386353","1.8303686380386353","1.8303686380386353"
"39409","1.875792145729065","1.875792145729065","1.875792145729065"
"40025","1.973026990890503","1.973026990890503","1.973026990890503"
"40640","2.0679469108581543","2.0679469108581543","2.0679469108581543"
"41256","2.034883737564087","2.034883737564087","2.034883737564087"
"41872","2.028155565261841","2.028155565261841","2.028155565261841"
"42487","2.0451340675354004","2.0451340675354004","2.0451340675354004"
"43103","2.058755397796631","2.058755397796631","2.058755397796631"
"43719","2.030109405517578","2.030109405517578","2.030109405517578"
"44335","1.9991015195846558","1.9991015195846558","1.9991015195846558"
"44951","1.9902697801589966","1.9902697801589966","1.9902697801589966"
"45566","1.9855989217758179","1.9855989217758179","1.9855989217758179"
"46182","1.9810508489608765","1.9810508489608765","1.9810508489608765"
"46798","2","2","2"
"47414","1.9714765548706055","1.9714765548706055","1.9714765548706055"
"48030","2.0289855003356934","2.0289855003356934","2.0289855003356934"
"48645","2.180558443069458","2.180558443069458","2.180558443069458"
"49261","2.27364182472229","2.27364182472229","2.27364182472229"
"49877","2.3061630725860596","2.3061630725860596","2.3061630725860596"
"50492","2.431849479675293","2.431849479675293","2.431849479675293"
"51108","2.425771474838257","2.425771474838257","2.425771474838257"
"51724","2.4521071910858154","2.4521071910858154","2.4521071910858154"
"52340","2.479651689529419","2.479651689529419","2.479651689529419"
