"Step","hopeful-night-223 - eval/Achievements/defeat_zombie","hopeful-night-223 - eval/Achievements/defeat_zombie__MIN","hopeful-night-223 - eval/Achievements/defeat_zombie__MAX"
"73892","3.0093209743499756","3.0093209743499756","3.0093209743499756"
"74507","2.9838922023773193","2.9838922023773193","2.9838922023773193"
"75123","2.9862475395202637","2.9862475395202637","2.9862475395202637"
"75739","2.9724817276000977","2.9724817276000977","2.9724817276000977"
"76355","2.9869961738586426","2.9869961738586426","2.9869961738586426"
"76971","3.0152037143707275","3.0152037143707275","3.0152037143707275"
"77586","2.990748882293701","2.990748882293701","2.990748882293701"
"78202","3.0043997764587402","3.0043997764587402","3.0043997764587402"
"78818","2.9962546825408936","2.9962546825408936","2.9962546825408936"
"79434","3.007797956466675","3.007797956466675","3.007797956466675"
"80050","3.0593438148498535","3.0593438148498535","3.0593438148498535"
"80665","3.0495243072509766","3.0495243072509766","3.0495243072509766"
"81281","3.0508475303649902","3.0508475303649902","3.0508475303649902"
"81897","3.0637991428375244","3.0637991428375244","3.0637991428375244"
"82512","3.0415077209472656","3.0415077209472656","3.0415077209472656"
"83128","3.0310206413269043","3.0310206413269043","3.0310206413269043"
"83744","3.0078721046447754","3.0078721046447754","3.0078721046447754"
"84360","2.9854228496551514","2.9854228496551514","2.9854228496551514"
"84976","2.963649034500122","2.963649034500122","2.963649034500122"
"85591","2.9519870281219482","2.9519870281219482","2.9519870281219482"
"86207","2.9425182342529297","2.9425182342529297","2.9425182342529297"
"86823","2.9565019607543945","2.9565019607543945","2.9565019607543945"
"87439","2.9927992820739746","2.9927992820739746","2.9927992820739746"
"88055","3.0154120922088623","3.0154120922088623","3.0154120922088623"
"88670","3.0155210494995117","3.0155210494995117","3.0155210494995117"
"89286","3.005614995956421","3.005614995956421","3.005614995956421"
"89902","3.008094549179077","3.008094549179077","3.008094549179077"
"90517","2.997068166732788","2.997068166732788","2.997068166732788"
"91133","3.000863552093506","3.000863552093506","3.000863552093506"
"91749","2.992919921875","2.992919921875","2.992919921875"
"92365","2.971562385559082","2.971562385559082","2.971562385559082"
"92981","2.9548823833465576","2.9548823833465576","2.9548823833465576"
"93596","2.9467480182647705","2.9467480182647705","2.9467480182647705"
"94212","2.939330577850342","2.939330577850342","2.939330577850342"
"94828","2.9179646968841553","2.9179646968841553","2.9179646968841553"
"95444","2.928438901901245","2.928438901901245","2.928438901901245"
"96060","2.9673590660095215","2.9673590660095215","2.9673590660095215"
"96675","2.979156017303467","2.979156017303467","2.979156017303467"
"97291","3.0012125968933105","3.0012125968933105","3.0012125968933105"
"97907","3.033346652984619","3.033346652984619","3.033346652984619"
"98522","3.0133705139160156","3.0133705139160156","3.0133705139160156"
"99138","2.9972212314605713","2.9972212314605713","2.9972212314605713"
"99754","2.9959592819213867","2.9959592819213867","2.9959592819213867"
"100370","2.9852206707000732","2.9852206707000732","2.9852206707000732"
"100986","2.962315559387207","2.962315559387207","2.962315559387207"
"101601","2.9548087120056152","2.9548087120056152","2.9548087120056152"
"102217","2.9454092979431152","2.9454092979431152","2.9454092979431152"
"102833","2.9265966415405273","2.9265966415405273","2.9265966415405273"
"103449","2.9174954891204834","2.9174954891204834","2.9174954891204834"
"104065","2.910426616668701","2.910426616668701","2.910426616668701"
"104680","2.8932583332061768","2.8932583332061768","2.8932583332061768"
"105296","2.8949084281921387","2.8949084281921387","2.8949084281921387"
"105912","2.878563404083252","2.878563404083252","2.878563404083252"
"106527","2.881075143814087","2.881075143814087","2.881075143814087"
"107143","2.881448984146118","2.881448984146118","2.881448984146118"
"107759","2.865199089050293","2.865199089050293","2.865199089050293"
"108375","2.848616361618042","2.848616361618042","2.848616361618042"
