"Step","hopeful-night-223 - eval/Achievements/collect_sapling","hopeful-night-223 - eval/Achievements/collect_sapling__MIN","hopeful-night-223 - eval/Achievements/collect_sapling__MAX"
"0","42.85714340209961","42.85714340209961","42.85714340209961"
"615","35.44303894042969","35.44303894042969","35.44303894042969"
"1231","24.64788818359375","24.64788818359375","24.64788818359375"
"1847","17.587940216064453","17.587940216064453","17.587940216064453"
"2462","13.409961700439453","13.409961700439453","13.409961700439453"
"3078","11.075949668884277","11.075949668884277","11.075949668884277"
"3694","9.677419662475586","9.677419662475586","9.677419662475586"
"4310","8.352667808532715","8.352667808532715","8.352667808532715"
"4926","7.615230560302734","7.615230560302734","7.615230560302734"
"5541","6.749556064605713","6.749556064605713","6.749556064605713"
"6157","6.109324932098389","6.109324932098389","6.109324932098389"
"6773","5.571847438812256","5.571847438812256","5.571847438812256"
"7389","5.142084121704102","5.142084121704102","5.142084121704102"
"8005","4.773869514465332","4.773869514465332","4.773869514465332"
"8620","4.4289045333862305","4.4289045333862305","4.4289045333862305"
"9236","4.134929180145264","4.134929180145264","4.134929180145264"
"9852","3.8696537017822266","3.8696537017822266","3.8696537017822266"
"10467","3.660886287689209","3.660886287689209","3.660886287689209"
"11083","3.457688808441162","3.457688808441162","3.457688808441162"
"11699","3.275861978530884","3.275861978530884","3.275861978530884"
"12315","3.1045751571655273","3.1045751571655273","3.1045751571655273"
"12931","2.948021650314331","2.948021650314331","2.948021650314331"
"13546","2.8761062622070312","2.8761062622070312","2.8761062622070312"
"14162","2.8248586654663086","2.8248586654663086","2.8248586654663086"
"14778","2.7740190029144287","2.7740190029144287","2.7740190029144287"
"15394","2.6606099605560303","2.6606099605560303","2.6606099605560303"
"16010","2.556109666824341","2.556109666824341","2.556109666824341"
"16625","2.453620672225952","2.453620672225952","2.453620672225952"
"17241","2.429149866104126","2.429149866104126","2.429149866104126"
"17857","2.466367721557617","2.466367721557617","2.466367721557617"
"18472","2.88043475151062","2.88043475151062","2.88043475151062"
"19088","3.307086706161499","3.307086706161499","3.307086706161499"
"19704","3.3078880310058594","3.3078880310058594","3.3078880310058594"
"20320","3.4398033618927","3.4398033618927","3.4398033618927"
"20936","3.4761905670166016","3.4761905670166016","3.4761905670166016"
"21551","3.606102705001831","3.606102705001831","3.606102705001831"
"22167","3.5505619049072266","3.5505619049072266","3.5505619049072266"
"22783","3.49040150642395","3.49040150642395","3.49040150642395"
"23399","3.4923338890075684","3.4923338890075684","3.4923338890075684"
"24015","3.449709177017212","3.449709177017212","3.449709177017212"
"24630","3.5656402111053467","3.5656402111053467","3.5656402111053467"
"25246","3.561535358428955","3.561535358428955","3.561535358428955"
"25862","3.5976788997650146","3.5976788997650146","3.5976788997650146"
"26477","3.822861433029175","3.822861433029175","3.822861433029175"
"27093","3.7833828926086426","3.7833828926086426","3.7833828926086426"
"27709","3.768115997314453","3.768115997314453","3.768115997314453"
"28325","3.7247250080108643","3.7247250080108643","3.7247250080108643"
"28941","3.8781163692474365","3.8781163692474365","3.8781163692474365"
"29556","4.108658790588379","4.108658790588379","4.108658790588379"
"30172","4.788825988769531","4.788825988769531","4.788825988769531"
"30788","5.4248366355896","5.4248366355896","5.4248366355896"
"31404","6.386392593383789","6.386392593383789","6.386392593383789"
"32020","7.610063076019287","7.610063076019287","7.610063076019287"
