"Step","hopeful-night-223 - eval/Achievements/collect_sapling","hopeful-night-223 - eval/Achievements/collect_sapling__MIN","hopeful-night-223 - eval/Achievements/collect_sapling__MAX"
"64655","27.945871353149414","27.945871353149414","27.945871353149414"
"65271","28.141460418701172","28.141460418701172","28.141460418701172"
"65887","28.42450523376465","28.42450523376465","28.42450523376465"
"66502","28.493432998657227","28.493432998657227","28.493432998657227"
"67118","28.671634674072266","28.671634674072266","28.671634674072266"
"67734","29.067747116088867","29.067747116088867","29.067747116088867"
"68350","29.221057891845703","29.221057891845703","29.221057891845703"
"68966","29.466951370239258","29.466951370239258","29.466951370239258"
"69581","29.759052276611328","29.759052276611328","29.759052276611328"
"70197","29.660186767578125","29.660186767578125","29.660186767578125"
"70813","29.71848487854004","29.71848487854004","29.71848487854004"
"71429","29.982120513916016","29.982120513916016","29.982120513916016"
"72045","30.1608943939209","30.1608943939209","30.1608943939209"
"72660","30.06359100341797","30.06359100341797","30.06359100341797"
"73276","30.001340866088867","30.001340866088867","30.001340866088867"
"73892","30.09320831298828","30.09320831298828","30.09320831298828"
"74507","30.010562896728516","30.010562896728516","30.010562896728516"
"75123","30.163719177246094","30.163719177246094","30.163719177246094"
"75739","30.127206802368164","30.127206802368164","30.127206802368164"
"76355","30.269086837768555","30.269086837768555","30.269086837768555"
"76971","30.394786834716797","30.394786834716797","30.394786834716797"
"77586","30.477760314941406","30.477760314941406","30.477760314941406"
"78202","30.659961700439453","30.659961700439453","30.659961700439453"
"78818","30.76154899597168","30.76154899597168","30.76154899597168"
"79434","30.845401763916016","30.845401763916016","30.845401763916016"
"80050","31.183191299438477","31.183191299438477","31.183191299438477"
"80665","31.3247127532959","31.3247127532959","31.3247127532959"
"81281","31.452783584594727","31.452783584594727","31.452783584594727"
"81897","31.623212814331055","31.623212814331055","31.623212814331055"
"82512","31.476621627807617","31.476621627807617","31.476621627807617"
"83128","31.36395835876465","31.36395835876465","31.36395835876465"
"83744","31.277170181274414","31.277170181274414","31.277170181274414"
"84360","31.370262145996094","31.370262145996094","31.370262145996094"
"84976","31.43088722229004","31.43088722229004","31.43088722229004"
"85591","31.610383987426758","31.610383987426758","31.610383987426758"
"86207","31.67198944091797","31.67198944091797","31.67198944091797"
"86823","31.841867446899414","31.841867446899414","31.841867446899414"
"87439","31.941944122314453","31.941944122314453","31.941944122314453"
"88055","32.086219787597656","32.086219787597656","32.086219787597656"
"88670","32.272727966308594","32.272727966308594","32.272727966308594"
"89286","32.32412338256836","32.32412338256836","32.32412338256836"
"89902","32.31240463256836","32.31240463256836","32.31240463256836"
"90517","32.337928771972656","32.337928771972656","32.337928771972656"
"91133","32.372623443603516","32.372623443603516","32.372623443603516"
"91749","32.289207458496094","32.289207458496094","32.289207458496094"
"92365","32.30376052856445","32.30376052856445","32.30376052856445"
"92981","32.3024787902832","32.3024787902832","32.3024787902832"
"93596","32.33003616333008","32.33003616333008","32.33003616333008"
"94212","32.35355758666992","32.35355758666992","32.35355758666992"
"94828","32.36759948730469","32.36759948730469","32.36759948730469"
"95444","32.625282287597656","32.625282287597656","32.625282287597656"
"96060","32.70234298706055","32.70234298706055","32.70234298706055"
"96675","32.892730712890625","32.892730712890625","32.892730712890625"
"97291","32.97291946411133","32.97291946411133","32.97291946411133"
"97907","33.055442810058594","33.055442810058594","33.055442810058594"
"98522","33.01736068725586","33.01736068725586","33.01736068725586"
"99138","32.9495849609375","32.9495849609375","32.9495849609375"
"99754","33.12308883666992","33.12308883666992","33.12308883666992"
"100370","33.0919075012207","33.0919075012207","33.0919075012207"
"100986","33.06138229370117","33.06138229370117","33.06138229370117"
"101601","32.976051330566406","32.976051330566406","32.976051330566406"
"102217","32.927181243896484","32.927181243896484","32.927181243896484"
"102833","32.802669525146484","32.802669525146484","32.802669525146484"
"103449","32.736572265625","32.736572265625","32.736572265625"
"104065","32.721107482910156","32.721107482910156","32.721107482910156"
"104680","32.69662857055664","32.69662857055664","32.69662857055664"
"105296","32.7562141418457","32.7562141418457","32.7562141418457"
"105912","32.8304328918457","32.8304328918457","32.8304328918457"
"106527","32.81480026245117","32.81480026245117","32.81480026245117"
"107143","32.78448486328125","32.78448486328125","32.78448486328125"
"107759","32.83609390258789","32.83609390258789","32.83609390258789"
"108375","32.76361083984375","32.76361083984375","32.76361083984375"
