"Step","hopeful-night-223 - eval/Achievements/defeat_skeleton","hopeful-night-223 - eval/Achievements/defeat_skeleton__MIN","hopeful-night-223 - eval/Achievements/defeat_skeleton__MAX"
"75123","0.03929273039102554","0.03929273039102554","0.03929273039102554"
"75739","0.03894080966711044","0.03894080966711044","0.03894080966711044"
"76355","0.03862495347857475","0.03862495347857475","0.03862495347857475"
"76971","0.0383288599550724","0.0383288599550724","0.0383288599550724"
"77586","0.03801799565553665","0.03801799565553665","0.03801799565553665"
"78202","0.037712130695581436","0.037712130695581436","0.037712130695581436"
"78818","0.03745318204164505","0.03745318204164505","0.03745318204164505"
"79434","0.049511078745126724","0.049511078745126724","0.049511078745126724"
"80050","0.04914608597755432","0.04914608597755432","0.04914608597755432"
"80665","0.048792388290166855","0.048792388290166855","0.048792388290166855"
"81281","0.048426151275634766","0.048426151275634766","0.048426151275634766"
"81897","0.060074493288993835","0.060074493288993835","0.060074493288993835"
"82512","0.07156488299369812","0.07156488299369812","0.07156488299369812"
"83128","0.07103954255580902","0.07103954255580902","0.07103954255580902"
"83744","0.07049700617790222","0.07049700617790222","0.07049700617790222"
"84360","0.06997084617614746","0.06997084617614746","0.06997084617614746"
"84976","0.06946052610874176","0.06946052610874176","0.06946052610874176"
"85591","0.06891798973083496","0.06891798973083496","0.06891798973083496"
"86207","0.06843065470457077","0.06843065470457077","0.06843065470457077"
"86823","0.067965567111969","0.067965567111969","0.067965567111969"
"87439","0.06750675290822983","0.06750675290822983","0.06750675290822983"
"88055","0.06700915843248367","0.06700915843248367","0.06700915843248367"
"88670","0.06651885062456131","0.06651885062456131","0.06651885062456131"
"89286","0.0660574734210968","0.0660574734210968","0.0660574734210968"
"89902","0.06563115119934082","0.06563115119934082","0.06563115119934082"
"90517","0.06515365093946457","0.06515365093946457","0.06515365093946457"
"91133","0.06476683914661407","0.06476683914661407","0.06476683914661407"
"91749","0.06436386704444885","0.06436386704444885","0.06436386704444885"
"92365","0.06390456855297089","0.06390456855297089","0.06390456855297089"
"92981","0.06354586035013199","0.06354586035013199","0.06354586035013199"
"93596","0.0736687034368515","0.0736687034368515","0.0736687034368515"
"94212","0.07322175800800323","0.07322175800800323","0.07322175800800323"
"94828","0.07268951088190079","0.07268951088190079","0.07268951088190079"
"95444","0.07217983156442642","0.07217983156442642","0.07217983156442642"
"96060","0.07162591069936752","0.07162591069936752","0.07162591069936752"
"96675","0.07117437571287155","0.07117437571287155","0.07117437571287155"
"97291","0.07073564827442169","0.07073564827442169","0.07073564827442169"
"97907","0.0703093633055687","0.0703093633055687","0.0703093633055687"
"98522","0.06984633952379227","0.06984633952379227","0.06984633952379227"
"99138","0.06947201490402222","0.06947201490402222","0.06947201490402222"
"99754","0.06898590922355652","0.06898590922355652","0.06898590922355652"
"100370","0.06851325929164886","0.06851325929164886","0.06851325929164886"
"100986","0.06798756867647171","0.06798756867647171","0.06798756867647171"
"101601","0.06759366393089294","0.06759366393089294","0.06759366393089294"
"102217","0.06715916842222214","0.06715916842222214","0.06715916842222214"
"102833","0.06673021614551544","0.06673021614551544","0.06673021614551544"
"103449","0.0663067176938057","0.0663067176938057","0.0663067176938057"
"104065","0.06593199819326401","0.06593199819326401","0.06593199819326401"
"104680","0.06554307043552399","0.06554307043552399","0.06554307043552399"
"105296","0.06515870988368988","0.06515870988368988","0.06515870988368988"
"105912","0.06479081511497498","0.06479081511497498","0.06479081511497498"
"106527","0.06443298608064651","0.06443298608064651","0.06443298608064651"
"107143","0.06403219699859619","0.06403219699859619","0.06403219699859619"
"107759","0.06367108970880508","0.06367108970880508","0.06367108970880508"
"108375","0.06330258399248123","0.06330258399248123","0.06330258399248123"
