"Step","hopeful-night-223 - eval/Achievements/make_wood_sword","hopeful-night-223 - eval/Achievements/make_wood_sword__MIN","hopeful-night-223 - eval/Achievements/make_wood_sword__MAX"
"57266","0.06896551698446274","0.06896551698446274","0.06896551698446274"
"57882","0.06810829043388367","0.06810829043388367","0.06810829043388367"
"58497","0.06739679723978043","0.06739679723978043","0.06739679723978043"
"59113","0.06670001894235611","0.06670001894235611","0.06670001894235611"
"59729","0.06596305966377258","0.06596305966377258","0.06596305966377258"
"60345","0.06529546529054642","0.06529546529054642","0.06529546529054642"
"60961","0.06459948420524597","0.06459948420524597","0.06459948420524597"
"61576","0.0638977661728859","0.0638977661728859","0.0638977661728859"
"62192","0.06325110793113708","0.06325110793113708","0.06325110793113708"
"62808","0.06265664100646973","0.06265664100646973","0.06265664100646973"
"63424","0.062034741044044495","0.062034741044044495","0.062034741044044495"
"64040","0.061377935111522675","0.061377935111522675","0.061377935111522675"
"64655","0.06081800162792206","0.06081800162792206","0.06081800162792206"
"65271","0.06019563600420952","0.06019563600420952","0.06019563600420952"
"65887","0.059621404856443405","0.059621404856443405","0.059621404856443405"
"66502","0.059023167937994","0.059023167937994","0.059023167937994"
"67118","0.05845389515161514","0.05845389515161514","0.05845389515161514"
"67734","0.05790387839078903","0.05790387839078903","0.05790387839078903"
"68350","0.05738057568669319","0.05738057568669319","0.05738057568669319"
"68966","0.05685856565833092","0.05685856565833092","0.05685856565833092"
"69581","0.0563618429005146","0.0563618429005146","0.0563618429005146"
"70197","0.05593623220920563","0.05593623220920563","0.05593623220920563"
"70813","0.05547080934047699","0.05547080934047699","0.05547080934047699"
"71429","0.05501306429505348","0.05501306429505348","0.05501306429505348"
"72045","0.054540496319532394","0.054540496319532394","0.054540496319532394"
"72660","0.05411987379193306","0.05411987379193306","0.05411987379193306"
"73276","0.05366966500878334","0.05366966500878334","0.05366966500878334"
"73892","0.053262315690517426","0.053262315690517426","0.053262315690517426"
"74507","0.052812252193689346","0.052812252193689346","0.052812252193689346"
"75123","0.05239030718803406","0.05239030718803406","0.05239030718803406"
"75739","0.05192108079791069","0.05192108079791069","0.05192108079791069"
"76355","0.05149993672966957","0.05149993672966957","0.05149993672966957"
