"Step","hopeful-night-223 - eval/Achievements/eat_cow","hopeful-night-223 - eval/Achievements/eat_cow__MIN","hopeful-night-223 - eval/Achievements/eat_cow__MAX"
"0","0","0","0"
"615","0","0","0"
"1231","0","0","0"
"1847","0","0","0"
"2462","0","0","0"
"3078","0","0","0"
"3694","0","0","0"
"4310","0","0","0"
"4926","0","0","0"
"5541","0","0","0"
"6157","0","0","0"
"6773","0","0","0"
"7389","0","0","0"
"8005","0","0","0"
"8620","0","0","0"
"9236","0","0","0"
"9852","0","0","0"
"10467","0","0","0"
"11083","0","0","0"
"11699","0","0","0"
"12315","0","0","0"
"12931","0","0","0"
"13546","0","0","0"
"14162","0","0","0"
"14778","0","0","0"
"15394","0","0","0"
"16010","0","0","0"
"16625","0","0","0"
"17241","0","0","0"
"17857","0","0","0"
"18472","0.054347824305295944","0.054347824305295944","0.054347824305295944"
"19088","0.05249343812465668","0.05249343812465668","0.05249343812465668"
"19704","0.05089058354496956","0.05089058354496956","0.05089058354496956"
"20320","0.09828009456396103","0.09828009456396103","0.09828009456396103"
"20936","0.095238097012043","0.095238097012043","0.095238097012043"
"21551","0.09246417135000229","0.09246417135000229","0.09246417135000229"
"22167","0.08988764137029648","0.08988764137029648","0.08988764137029648"
"22783","0.08726003766059875","0.08726003766059875","0.08726003766059875"
"23399","0.08517887443304062","0.08517887443304062","0.08517887443304062"
"24015","0.0831255167722702","0.0831255167722702","0.0831255167722702"
"24630","0.12155591696500778","0.12155591696500778","0.12155591696500778"
"25246","0.11871784925460815","0.11871784925460815","0.11871784925460815"
"25862","0.11605415493249893","0.11605415493249893","0.11605415493249893"
"26477","0.1135503426194191","0.1135503426194191","0.1135503426194191"
"27093","0.11127596348524094","0.11127596348524094","0.11127596348524094"
"27709","0.10869564861059189","0.10869564861059189","0.10869564861059189"
"28325","0.10642071813344955","0.10642071813344955","0.10642071813344955"
"28941","0.10387811809778214","0.10387811809778214","0.10387811809778214"
"29556","0.13582342863082886","0.13582342863082886","0.13582342863082886"
"30172","0.23279015719890594","0.23279015719890594","0.23279015719890594"
"30788","0.26143792271614075","0.26143792271614075","0.26143792271614075"
"31404","0.3530166745185852","0.3530166745185852","0.3530166745185852"
"32020","0.37735849618911743","0.37735849618911743","0.37735849618911743"
"32635","0.46168053150177","0.46168053150177","0.46168053150177"
"33251","0.4833836853504181","0.4833836853504181","0.4833836853504181"
"33867","0.564300537109375","0.564300537109375","0.564300537109375"
"34482","0.7003209590911865","0.7003209590911865","0.7003209590911865"
"35098","0.7439199090003967","0.7439199090003967","0.7439199090003967"
"35714","0.7594936490058899","0.7594936490058899","0.7594936490058899"
"36330","0.7730535864830017","0.7730535864830017","0.7730535864830017"
"36946","0.8938244581222534","0.8938244581222534","0.8938244581222534"
"37561","1.0146862268447876","1.0146862268447876","1.0146862268447876"
"38177","1.0490427017211914","1.0490427017211914","1.0490427017211914"
"38793","1.0311936140060425","1.0311936140060425","1.0311936140060425"
"39409","1.0646387338638306","1.0646387338638306","1.0646387338638306"
"40025","1.1238760948181152","1.1238760948181152","1.1238760948181152"
"40640","1.157065510749817","1.157065510749817","1.157065510749817"
"41256","1.1870155334472656","1.1870155334472656","1.1870155334472656"
"41872","1.1930327415466309","1.1930327415466309","1.1930327415466309"
"42487","1.175364375114441","1.175364375114441","1.175364375114441"
"43103","1.226000428199768","1.226000428199768","1.226000428199768"
"43719","1.2089415788650513","1.2089415788650513","1.2089415788650513"
"44335","1.2129379510879517","1.2129379510879517","1.2129379510879517"
"44951","1.2826182842254639","1.2826182842254639","1.2826182842254639"
"45566","1.3091861009597778","1.3091861009597778","1.3091861009597778"
"46182","1.3135228157043457","1.3135228157043457","1.3135228157043457"
"46798","1.2978723049163818","1.2978723049163818","1.2978723049163818"
"47414","1.279362440109253","1.279362440109253","1.279362440109253"
"48030","1.3250517845153809","1.3250517845153809","1.3250517845153809"
"48645","1.3653963804244995","1.3653963804244995","1.3653963804244995"
"49261","1.3883299827575684","1.3883299827575684","1.3883299827575684"
"49877","1.3916500806808472","1.3916500806808472","1.3916500806808472"
"50492","1.470876693725586","1.470876693725586","1.470876693725586"
"51108","1.4942752122879028","1.4942752122879028","1.4942752122879028"
"51724","1.532567024230957","1.532567024230957","1.532567024230957"
