"Step","hopeful-night-223 - eval/Achievements/collect_drink","hopeful-night-223 - eval/Achievements/collect_drink__MIN","hopeful-night-223 - eval/Achievements/collect_drink__MAX"
"0","14.285714149475098","14.285714149475098","14.285714149475098"
"615","15.189873695373535","15.189873695373535","15.189873695373535"
"1231","11.267605781555176","11.267605781555176","11.267605781555176"
"1847","8.542713165283203","8.542713165283203","8.542713165283203"
"2462","7.279693603515625","7.279693603515625","7.279693603515625"
"3078","6.645569801330566","6.645569801330566","6.645569801330566"
"3694","6.72042989730835","6.72042989730835","6.72042989730835"
"4310","6.264501094818115","6.264501094818115","6.264501094818115"
"4926","5.8116230964660645","5.8116230964660645","5.8116230964660645"
"5541","5.506216526031494","5.506216526031494","5.506216526031494"
"6157","5.627009868621826","5.627009868621826","5.627009868621826"
"6773","5.425220012664795","5.425220012664795","5.425220012664795"
"7389","5.142084121704102","5.142084121704102","5.142084121704102"
"8005","4.773869514465332","4.773869514465332","4.773869514465332"
"8620","4.662004470825195","4.662004470825195","4.662004470825195"
"9236","4.352557182312012","4.352557182312012","4.352557182312012"
"9852","4.073319911956787","4.073319911956787","4.073319911956787"
"10467","3.853564500808716","3.853564500808716","3.853564500808716"
"11083","3.7306642532348633","3.7306642532348633","3.7306642532348633"
"11699","3.534482717514038","3.534482717514038","3.534482717514038"
"12315","3.43137264251709","3.43137264251709","3.43137264251709"
"12931","3.3359193801879883","3.3359193801879883","3.3359193801879883"
"13546","3.1710915565490723","3.1710915565490723","3.1710915565490723"
"14162","3.107344627380371","3.107344627380371","3.107344627380371"
"14778","2.9769959449768066","2.9769959449768066","2.9769959449768066"
"15394","2.8552887439727783","2.8552887439727783","2.8552887439727783"
"16010","2.867830514907837","2.867830514907837","2.867830514907837"
"16625","2.8126869201660156","2.8126869201660156","2.8126869201660156"
"17241","2.718334197998047","2.718334197998047","2.718334197998047"
"17857","3.1390135288238525","3.1390135288238525","3.1390135288238525"
"18472","3.58695650100708","3.58695650100708","3.58695650100708"
"19088","3.9370079040527344","3.9370079040527344","3.9370079040527344"
"19704","4.122137546539307","4.122137546539307","4.122137546539307"
"20320","4.373464584350586","4.373464584350586","4.373464584350586"
"20936","4.5714287757873535","4.5714287757873535","4.5714287757873535"
"21551","4.715672492980957","4.715672492980957","4.715672492980957"
"22167","4.764044761657715","4.764044761657715","4.764044761657715"
"22783","4.842931747436523","4.842931747436523","4.842931747436523"
"23399","4.855195999145508","4.855195999145508","4.855195999145508"
"24015","4.90440559387207","4.90440559387207","4.90440559387207"
"24630","4.983792781829834","4.983792781829834","4.983792781829834"
"25246","4.907004356384277","4.907004356384277","4.907004356384277"
"25862","5.029013633728027","5.029013633728027","5.029013633728027"
"26477","5.034065246582031","5.034065246582031","5.034065246582031"
"27093","5.081602573394775","5.081602573394775","5.081602573394775"
"27709","5.0724639892578125","5.0724639892578125","5.0724639892578125"
"28325","5.179141521453857","5.179141521453857","5.179141521453857"
"28941","5.367035865783691","5.367035865783691","5.367035865783691"
"29556","5.331069469451904","5.331069469451904","5.331069469451904"
"30172","5.520452499389648","5.520452499389648","5.520452499389648"
"30788","5.849673271179199","5.849673271179199","5.849673271179199"
"31404","6.129653453826904","6.129653453826904","6.129653453826904"
"32020","6.069182395935059","6.069182395935059","6.069182395935059"
"32635","6.094182968139648","6.094182968139648","6.094182968139648"
"33251","6.012084484100342","6.012084484100342","6.012084484100342"
"33867","6.118206024169922","6.118206024169922","6.118206024169922"
"34482","6.186168670654297","6.186168670654297","6.186168670654297"
"35098","6.266094207763672","6.266094207763672","6.266094207763672"
"35714","6.329113960266113","6.329113960266113","6.329113960266113"
"36330","6.322474002838135","6.322474002838135","6.322474002838135"
"36946","6.256771564483643","6.256771564483643","6.256771564483643"
"37561","6.275033473968506","6.275033473968506","6.275033473968506"
"38177","6.268030643463135","6.268030643463135","6.268030643463135"
"38793","6.393400192260742","6.393400192260742","6.393400192260742"
"39409","6.489226818084717","6.489226818084717","6.489226818084717"
