"Step","hopeful-night-223 - eval/Achievements/collect_drink","hopeful-night-223 - eval/Achievements/collect_drink__MIN","hopeful-night-223 - eval/Achievements/collect_drink__MAX"
"40025","6.518481731414795","6.518481731414795","6.518481731414795"
"40640","6.573116779327393","6.573116779327393","6.573116779327393"
"41256","6.758720874786377","6.758720874786377","6.758720874786377"
"41872","6.991171360015869","6.991171360015869","6.991171360015869"
"42487","7.005171775817871","7.005171775817871","7.005171775817871"
"43103","7.032153606414795","7.032153606414795","7.032153606414795"
"43719","7.139598369598389","7.139598369598389","7.139598369598389"
"44335","7.255166053771973","7.255166053771973","7.255166053771973"
"44951","7.319769859313965","7.319769859313965","7.319769859313965"
"45566","7.4405412673950195","7.4405412673950195","7.4405412673950195"
"46182","7.579672813415527","7.579672813415527","7.579672813415527"
"46798","7.617021083831787","7.617021083831787","7.617021083831787"
"47414","7.655201435089111","7.655201435089111","7.655201435089111"
"48030","7.7018632888793945","7.7018632888793945","7.7018632888793945"
"48645","7.682901859283447","7.682901859283447","7.682901859283447"
"49261","7.786720275878906","7.786720275878906","7.786720275878906"
"49877","7.8528828620910645","7.8528828620910645","7.8528828620910645"
"50492","7.86428689956665","7.86428689956665","7.86428689956665"
"51108","7.9565300941467285","7.9565300941467285","7.9565300941467285"
"51724","7.911877632141113","7.911877632141113","7.911877632141113"
"52340","7.931099891662598","7.931099891662598","7.931099891662598"
"52956","8.074766159057617","8.074766159057617","8.074766159057617"
"53571","8.119579315185547","8.119579315185547","8.119579315185547"
"54187","8.131267547607422","8.131267547607422","8.131267547607422"
"54803","8.073526382446289","8.073526382446289","8.073526382446289"
"55419","8.021389961242676","8.021389961242676","8.021389961242676"
"56035","7.988008975982666","7.988008975982666","7.988008975982666"
"56650","7.97556734085083","7.97556734085083","7.97556734085083"
"57266","8.034482955932617","8.034482955932617","8.034482955932617"
"57882","8.104887008666992","8.104887008666992","8.104887008666992"
"58497","8.188711166381836","8.188711166381836","8.188711166381836"
"59113","8.204102516174316","8.204102516174316","8.204102516174316"
"59729","8.195910453796387","8.195910453796387","8.195910453796387"
"60345","8.243552207946777","8.243552207946777","8.243552207946777"
"60961","8.204133987426758","8.204133987426758","8.204133987426758"
"61576","8.210862159729004","8.210862159729004","8.210862159729004"
"62192","8.222643852233887","8.222643852233887","8.222643852233887"
"62808","8.223684310913086","8.223684310913086","8.223684310913086"
"63424","8.250619888305664","8.250619888305664","8.250619888305664"
"64040","8.23998737335205","8.23998737335205","8.23998737335205"
"64655","8.240839004516602","8.240839004516602","8.240839004516602"
"65271","8.276900291442871","8.276900291442871","8.276900291442871"
"65887","8.272469520568848","8.272469520568848","8.272469520568848"
"66502","8.322266578674316","8.322266578674316","8.322266578674316"
"67118","8.344293594360352","8.344293594360352","8.344293594360352"
"67734","8.410538673400879","8.410538673400879","8.410538673400879"
"68350","8.57839584350586","8.57839584350586","8.57839584350586"
"68966","8.699359893798828","8.699359893798828","8.699359893798828"
"69581","8.736085891723633","8.736085891723633","8.736085891723633"
"70197","8.851908683776855","8.851908683776855","8.851908683776855"
"70813","8.88919734954834","8.88919734954834","8.88919734954834"
"71429","8.967129707336426","8.967129707336426","8.967129707336426"
"72045","9.053722381591797","9.053722381591797","9.053722381591797"
"72660","9.065078735351562","9.065078735351562","9.065078735351562"
"73276","9.150677680969238","9.150677680969238","9.150677680969238"
"73892","9.241011619567871","9.241011619567871","9.241011619567871"
"74507","9.360971450805664","9.360971450805664","9.360971450805664"
"75123","9.456450462341309","9.456450462341309","9.456450462341309"
"75739","9.488576889038086","9.488576889038086","9.488576889038086"
"76355","9.475988388061523","9.475988388061523","9.475988388061523"
"76971","9.556662559509277","9.556662559509277","9.556662559509277"
"77586","9.580534934997559","9.580534934997559","9.580534934997559"
"78202","9.591451644897461","9.591451644897461","9.591451644897461"
"78818","9.750311851501465","9.750311851501465","9.750311851501465"
"79434","9.803193092346191","9.803193092346191","9.803193092346191"
"80050","9.878363609313965","9.878363609313965","9.878363609313965"
"80665","9.929250717163086","9.929250717163086","9.929250717163086"
"81281","10.036319732666016","10.036319732666016","10.036319732666016"
"81897","10.056469917297363","10.056469917297363","10.056469917297363"
"82512","10.042939186096191","10.042939186096191","10.042939186096191"
"83128","10.040255546569824","10.040255546569824","10.040255546569824"
"83744","10.057572364807129","10.057572364807129","10.057572364807129"
"84360","10.110787391662598","10.110787391662598","10.110787391662598"
"84976","10.19912052154541","10.19912052154541","10.19912052154541"
"85591","10.245807647705078","10.245807647705078","10.245807647705078"
"86207","10.253193855285645","10.253193855285645","10.253193855285645"
"86823","10.330765724182129","10.330765724182129","10.330765724182129"
"87439","10.362286567687988","10.362286567687988","10.362286567687988"
"88055","10.431092262268066","10.431092262268066","10.431092262268066"
"88670","10.476717948913574","10.476717948913574","10.476717948913574"
"89286","10.558185577392578","10.558185577392578","10.558185577392578"
"89902","10.599431037902832","10.599431037902832","10.599431037902832"
"90517","10.69605827331543","10.69605827331543","10.69605827331543"
"91133","10.772884368896484","10.772884368896484","10.772884368896484"
"91749","10.813130378723145","10.813130378723145","10.813130378723145"
"92365","10.85312557220459","10.85312557220459","10.85312557220459"
"92981","10.908705711364746","10.908705711364746","10.908705711364746"
"93596","10.955588340759277","10.955588340759277","10.955588340759277"
"94212","11.004183769226074","11.004183769226074","11.004183769226074"
"94828","11.100727081298828","11.100727081298828","11.100727081298828"
"95444","11.156939506530762","11.156939506530762","11.156939506530762"
"96060","11.153177261352539","11.153177261352539","11.153177261352539"
"96675","11.184544563293457","11.184544563293457","11.184544563293457"
"97291","11.246968269348145","11.246968269348145","11.246968269348145"
"97907","11.269586563110352","11.269586563110352","11.269586563110352"
"98522","11.285172462463379","11.285172462463379","11.285172462463379"
"99138","11.323938369750977","11.323938369750977","11.323938369750977"
"99754","11.372819900512695","11.372819900512695","11.372819900512695"
"100370","11.392776489257812","11.392776489257812","11.392776489257812"
"100986","11.402486801147461","11.402486801147461","11.402486801147461"
"101601","11.42332935333252","11.42332935333252","11.42332935333252"
"102217","11.484217643737793","11.484217643737793","11.484217643737793"
"102833","11.525261878967285","11.525261878967285","11.525261878967285"
"103449","11.594202995300293","11.594202995300293","11.594202995300293"
"104065","11.622868537902832","11.622868537902832","11.622868537902832"
"104680","11.657303810119629","11.657303810119629","11.657303810119629"
"105296","11.635483741760254","11.635483741760254","11.635483741760254"
"105912","11.6345796585083","11.6345796585083","11.6345796585083"
"106527","11.653166770935059","11.653166770935059","11.653166770935059"
"107143","11.71789264678955","11.71789264678955","11.71789264678955"
"107759","11.779151916503906","11.779151916503906","11.779151916503906"
"108375","11.77428150177002","11.77428150177002","11.77428150177002"
