"Step","hopeful-night-223 - eval/Achievements/make_wood_pickaxe","hopeful-night-223 - eval/Achievements/make_wood_pickaxe__MIN","hopeful-night-223 - eval/Achievements/make_wood_pickaxe__MAX"
"0","0","0","0"
"615","1.2658227682113647","1.2658227682113647","1.2658227682113647"
"1231","0.7042253613471985","0.7042253613471985","0.7042253613471985"
"1847","0.5025125741958618","0.5025125741958618","0.5025125741958618"
"2462","0.38314175605773926","0.38314175605773926","0.38314175605773926"
"3078","0.3164556920528412","0.3164556920528412","0.3164556920528412"
"3694","0.2688172161579132","0.2688172161579132","0.2688172161579132"
"4310","0.23201856017112732","0.23201856017112732","0.23201856017112732"
"4926","0.20040079951286316","0.20040079951286316","0.20040079951286316"
"5541","0.17761988937854767","0.17761988937854767","0.17761988937854767"
"6157","0.1607716977596283","0.1607716977596283","0.1607716977596283"
"6773","0.14662756025791168","0.14662756025791168","0.14662756025791168"
"7389","0.13531799614429474","0.13531799614429474","0.13531799614429474"
"8005","0.12562814354896545","0.12562814354896545","0.12562814354896545"
"8620","0.11655011773109436","0.11655011773109436","0.11655011773109436"
"9236","0.10881392657756805","0.10881392657756805","0.10881392657756805"
"9852","0.10183299332857132","0.10183299332857132","0.10183299332857132"
"10467","0.09633911401033401","0.09633911401033401","0.09633911401033401"
"11083","0.09099180996417999","0.09099180996417999","0.09099180996417999"
"11699","0.08620689809322357","0.08620689809322357","0.08620689809322357"
"12315","0.08169934898614883","0.08169934898614883","0.08169934898614883"
"12931","0.07757952064275742","0.07757952064275742","0.07757952064275742"
"13546","0.07374631613492966","0.07374631613492966","0.07374631613492966"
"14162","0.07062146812677383","0.07062146812677383","0.07062146812677383"
"14778","0.06765899807214737","0.06765899807214737","0.06765899807214737"
"15394","0.06489292532205582","0.06489292532205582","0.06489292532205582"
"16010","0.06234414130449295","0.06234414130449295","0.06234414130449295"
"16625","0.059844404458999634","0.059844404458999634","0.059844404458999634"
"17241","0.057836901396512985","0.057836901396512985","0.057836901396512985"
"17857","0.05605380982160568","0.05605380982160568","0.05605380982160568"
"18472","0.054347824305295944","0.054347824305295944","0.054347824305295944"
"19088","0.05249343812465668","0.05249343812465668","0.05249343812465668"
"19704","0.05089058354496956","0.05089058354496956","0.05089058354496956"
"20320","0.049140047281980515","0.049140047281980515","0.049140047281980515"
"20936","0.0476190485060215","0.0476190485060215","0.0476190485060215"
"21551","0.046232085675001144","0.046232085675001144","0.046232085675001144"
"22167","0.04494382068514824","0.04494382068514824","0.04494382068514824"
"22783","0.04363001883029938","0.04363001883029938","0.04363001883029938"
