"Step","hopeful-night-223 - eval/Achievements/place_plant","hopeful-night-223 - eval/Achievements/place_plant__MIN","hopeful-night-223 - eval/Achievements/place_plant__MAX"
"0","42.85714340209961","42.85714340209961","42.85714340209961"
"615","29.113924026489258","29.113924026489258","29.113924026489258"
"1231","19.71830940246582","19.71830940246582","19.71830940246582"
"1847","14.070351600646973","14.070351600646973","14.070351600646973"
"2462","10.7279691696167","10.7279691696167","10.7279691696167"
"3078","8.860759735107422","8.860759735107422","8.860759735107422"
"3694","7.526881694793701","7.526881694793701","7.526881694793701"
"4310","6.496519565582275","6.496519565582275","6.496519565582275"
"4926","5.8116230964660645","5.8116230964660645","5.8116230964660645"
"5541","5.15097713470459","5.15097713470459","5.15097713470459"
"6157","4.662379264831543","4.662379264831543","4.662379264831543"
"6773","4.252199649810791","4.252199649810791","4.252199649810791"
"7389","3.924221992492676","3.924221992492676","3.924221992492676"
"8005","3.643216133117676","3.643216133117676","3.643216133117676"
"8620","3.379953384399414","3.379953384399414","3.379953384399414"
"9236","3.1556038856506348","3.1556038856506348","3.1556038856506348"
"9852","2.9531567096710205","2.9531567096710205","2.9531567096710205"
"10467","2.7938342094421387","2.7938342094421387","2.7938342094421387"
"11083","2.6387624740600586","2.6387624740600586","2.6387624740600586"
"11699","2.5","2.5","2.5"
"12315","2.369281053543091","2.369281053543091","2.369281053543091"
"12931","2.2498061656951904","2.2498061656951904","2.2498061656951904"
"13546","2.1386430263519287","2.1386430263519287","2.1386430263519287"
"14162","2.048022508621216","2.048022508621216","2.048022508621216"
"14778","1.962110996246338","1.962110996246338","1.962110996246338"
"15394","1.881894826889038","1.881894826889038","1.881894826889038"
"16010","1.8079800605773926","1.8079800605773926","1.8079800605773926"
"16625","1.735487699508667","1.735487699508667","1.735487699508667"
"17241","1.6772700548171997","1.6772700548171997","1.6772700548171997"
"17857","1.6255605220794678","1.6255605220794678","1.6255605220794678"
"18472","1.5760869979858398","1.5760869979858398","1.5760869979858398"
"19088","1.574803113937378","1.574803113937378","1.574803113937378"
"19704","1.5267175436019897","1.5267175436019897","1.5267175436019897"
"20320","1.4742014408111572","1.4742014408111572","1.4742014408111572"
"20936","1.4285714626312256","1.4285714626312256","1.4285714626312256"
"21551","1.3869625329971313","1.3869625329971313","1.3869625329971313"
"22167","1.348314642906189","1.348314642906189","1.348314642906189"
"22783","1.3089004755020142","1.3089004755020142","1.3089004755020142"
"23399","1.277683138847351","1.277683138847351","1.277683138847351"
"24015","1.2468827962875366","1.2468827962875366","1.2468827962875366"
"24630","1.2155591249465942","1.2155591249465942","1.2155591249465942"
"25246","1.1871784925460815","1.1871784925460815","1.1871784925460815"
"25862","1.1605415344238281","1.1605415344238281","1.1605415344238281"
"26477","1.2112035751342773","1.2112035751342773","1.2112035751342773"
"27093","1.1869436502456665","1.1869436502456665","1.1869436502456665"
"27709","1.1594202518463135","1.1594202518463135","1.1594202518463135"
"28325","1.135154366493225","1.135154366493225","1.135154366493225"
"28941","1.108033299446106","1.108033299446106","1.108033299446106"
"29556","1.1205432415008545","1.1205432415008545","1.1205432415008545"
"30172","1.0974392890930176","1.0974392890930176","1.0974392890930176"
"30788","1.0784313678741455","1.0784313678741455","1.0784313678741455"
"31404","1.0911425352096558","1.0911425352096558","1.0911425352096558"
"32020","1.1320754289627075","1.1320754289627075","1.1320754289627075"
"32635","1.1695905923843384","1.1695905923843384","1.1695905923843384"
"33251","1.148036241531372","1.148036241531372","1.148036241531372"
"33867","1.12860107421875","1.12860107421875","1.12860107421875"
"34482","1.1672016382217407","1.1672016382217407","1.1672016382217407"
"35098","1.2017167806625366","1.2017167806625366","1.2017167806625366"
"35714","1.209563970565796","1.209563970565796","1.209563970565796"
"36330","1.2147984504699707","1.2147984504699707","1.2147984504699707"
"36946","1.1917660236358643","1.1917660236358643","1.1917660236358643"
"37561","1.2016021013259888","1.2016021013259888","1.2016021013259888"
"38177","1.2063992023468018","1.2063992023468018","1.2063992023468018"
"38793","1.2116525173187256","1.2116525173187256","1.2116525173187256"
"39409","1.216729998588562","1.216729998588562","1.216729998588562"
"40025","1.2487512826919556","1.2487512826919556","1.2487512826919556"
"40640","1.2801575660705566","1.2801575660705566","1.2801575660705566"
"41256","1.2839146852493286","1.2839146852493286","1.2839146852493286"
"41872","1.2646147012710571","1.2646147012710571","1.2646147012710571"
"42487","1.2693935632705688","1.2693935632705688","1.2693935632705688"
"43103","1.249132513999939","1.249132513999939","1.249132513999939"
"43719","1.2545620203018188","1.2545620203018188","1.2545620203018188"
"44335","1.235399842262268","1.235399842262268","1.235399842262268"
"44951","1.216275930404663","1.216275930404663","1.216275930404663"
"45566","1.200087308883667","1.200087308883667","1.200087308883667"
"46182","1.2058570384979248","1.2058570384979248","1.2058570384979248"
"46798","1.191489338874817","1.191489338874817","1.191489338874817"
"47414","1.1744966506958008","1.1744966506958008","1.1744966506958008"
"48030","1.1594202518463135","1.1594202518463135","1.1594202518463135"
"48645","1.1412267684936523","1.1412267684936523","1.1412267684936523"
"49261","1.1267606019973755","1.1267606019973755","1.1267606019973755"
"49877","1.1133201122283936","1.1133201122283936","1.1133201122283936"
"50492","1.1570895910263062","1.1570895910263062","1.1570895910263062"
"51108","1.1837764978408813","1.1837764978408813","1.1837764978408813"
"51724","1.2068965435028076","1.2068965435028076","1.2068965435028076"
"52340","1.1925042867660522","1.1925042867660522","1.1925042867660522"
"52956","1.1962616443634033","1.1962616443634033","1.1962616443634033"
"53571","1.1994832754135132","1.1994832754135132","1.1994832754135132"
"54187","1.239744782447815","1.239744782447815","1.239744782447815"
