"Step","hopeful-night-223 - eval/Achievements/place_table","hopeful-night-223 - eval/Achievements/place_table__MIN","hopeful-night-223 - eval/Achievements/place_table__MAX"
"0","28.571428298950195","28.571428298950195","28.571428298950195"
"615","12.658227920532227","12.658227920532227","12.658227920532227"
"1231","9.85915470123291","9.85915470123291","9.85915470123291"
"1847","7.035175800323486","7.035175800323486","7.035175800323486"
"2462","5.36398458480835","5.36398458480835","5.36398458480835"
"3078","4.430379867553711","4.430379867553711","4.430379867553711"
"3694","3.7634408473968506","3.7634408473968506","3.7634408473968506"
"4310","3.2482597827911377","3.2482597827911377","3.2482597827911377"
"4926","2.8056111335754395","2.8056111335754395","2.8056111335754395"
"5541","2.4866786003112793","2.4866786003112793","2.4866786003112793"
"6157","2.2508039474487305","2.2508039474487305","2.2508039474487305"
"6773","2.052785873413086","2.052785873413086","2.052785873413086"
"7389","1.8944519758224487","1.8944519758224487","1.8944519758224487"
"8005","1.7587939500808716","1.7587939500808716","1.7587939500808716"
"8620","1.6317015886306763","1.6317015886306763","1.6317015886306763"
"9236","1.5233949422836304","1.5233949422836304","1.5233949422836304"
"9852","1.4256619215011597","1.4256619215011597","1.4256619215011597"
"10467","1.3487476110458374","1.3487476110458374","1.3487476110458374"
"11083","1.2738853693008423","1.2738853693008423","1.2738853693008423"
"11699","1.2068965435028076","1.2068965435028076","1.2068965435028076"
"12315","1.1437908411026","1.1437908411026","1.1437908411026"
"12931","1.0861132144927979","1.0861132144927979","1.0861132144927979"
"13546","1.032448410987854","1.032448410987854","1.032448410987854"
"14162","0.9887005686759949","0.9887005686759949","0.9887005686759949"
"14778","0.9472259879112244","0.9472259879112244","0.9472259879112244"
"15394","0.9085009694099426","0.9085009694099426","0.9085009694099426"
"16010","0.8728179335594177","0.8728179335594177","0.8728179335594177"
"16625","0.8378216624259949","0.8378216624259949","0.8378216624259949"
"17241","0.8097165822982788","0.8097165822982788","0.8097165822982788"
"17857","0.8408071994781494","0.8408071994781494","0.8408071994781494"
"18472","0.8695651888847351","0.8695651888847351","0.8695651888847351"
"19088","0.9448819160461426","0.9448819160461426","0.9448819160461426"
"19704","1.01781165599823","1.01781165599823","1.01781165599823"
"20320","1.0319410562515259","1.0319410562515259","1.0319410562515259"
"20936","1","1","1"
"21551","0.9708737730979919","0.9708737730979919","0.9708737730979919"
"22167","0.9438202381134033","0.9438202381134033","0.9438202381134033"
"22783","0.9598603844642639","0.9598603844642639","0.9598603844642639"
"23399","0.9795570969581604","0.9795570969581604","0.9795570969581604"
"24015","0.9559434652328491","0.9559434652328491","0.9559434652328491"
"24630","0.9724473357200623","0.9724473357200623","0.9724473357200623"
"25246","0.9497427940368652","0.9497427940368652","0.9497427940368652"
"25862","0.9284332394599915","0.9284332394599915","0.9284332394599915"
"26477","0.9841029644012451","0.9841029644012451","0.9841029644012451"
"27093","1.001483678817749","1.001483678817749","1.001483678817749"
"27709","1.0144927501678467","1.0144927501678467","1.0144927501678467"
"28325","0.9932600259780884","0.9932600259780884","0.9932600259780884"
"28941","1.004155158996582","1.004155158996582","1.004155158996582"
"29556","0.9847198724746704","0.9847198724746704","0.9847198724746704"
"30172","0.9976720809936523","0.9976720809936523","0.9976720809936523"
"30788","1.013071894645691","1.013071894645691","1.013071894645691"
"31404","1.0590500831604004","1.0590500831604004","1.0590500831604004"
"32020","1.0691823959350586","1.0691823959350586","1.0691823959350586"
"32635","1.0772545337677002","1.0772545337677002","1.0772545337677002"
"33251","1.148036241531372","1.148036241531372","1.148036241531372"
"33867","1.2771012783050537","1.2771012783050537","1.2771012783050537"
"34482","1.517362117767334","1.517362117767334","1.517362117767334"
"35098","1.5450643301010132","1.5450643301010132","1.5450643301010132"
"35714","1.6033755540847778","1.6033755540847778","1.6033755540847778"
"36330","1.6289342641830444","1.6289342641830444","1.6289342641830444"
"36946","1.6793066263198853","1.6793066263198853","1.6793066263198853"
"37561","1.6822429895401","1.6822429895401","1.6822429895401"
"38177","1.7571465969085693","1.7571465969085693","1.7571465969085693"
"38793","1.8303686380386353","1.8303686380386353","1.8303686380386353"
"39409","1.9011406898498535","1.9011406898498535","1.9011406898498535"
"40025","1.948051929473877","1.948051929473877","1.948051929473877"
"40640","1.9940916299819946","1.9940916299819946","1.9940916299819946"
"41256","2.0106589794158936","2.0106589794158936","2.0106589794158936"
"41872","2.028155565261841","2.028155565261841","2.028155565261841"
"42487","2.0216267108917236","2.0216267108917236","2.0216267108917236"
"43103","2.058755397796631","2.058755397796631","2.058755397796631"
"43719","2.0985400676727295","2.0985400676727295","2.0985400676727295"
"44335","2.0664870738983154","2.0664870738983154","2.0664870738983154"
"44951","2.078726291656494","2.078726291656494","2.078726291656494"
"45566","2.1601572036743164","2.1601572036743164","2.1601572036743164"
"46182","2.196382522583008","2.196382522583008","2.196382522583008"
"46798","2.21276593208313","2.21276593208313","2.21276593208313"
"47414","2.202181100845337","2.202181100845337","2.202181100845337"
"48030","2.277432680130005","2.277432680130005","2.277432680130005"
"48645","2.34359073638916","2.34359073638916","2.34359073638916"
"49261","2.3742454051971436","2.3742454051971436","2.3742454051971436"
"49877","2.4652087688446045","2.4652087688446045","2.4652087688446045"
"50492","2.667189598083496","2.667189598083496","2.667189598083496"
"51108","2.7168638706207275","2.7168638706207275","2.7168638706207275"
"51724","2.720306396484375","2.720306396484375","2.720306396484375"
"52340","2.7067954540252686","2.7067954540252686","2.7067954540252686"
"52956","2.8598129749298096","2.8598129749298096","2.8598129749298096"
"53571","2.8418526649475098","2.8418526649475098","2.8418526649475098"
"54187","2.8441202640533447","2.8441202640533447","2.8441202640533447"
"54803","2.901423692703247","2.901423692703247","2.901423692703247"
"55419","2.8877005577087402","2.8877005577087402","2.8877005577087402"
"56035","2.9624404907226562","2.9624404907226562","2.9624404907226562"
"56650","3.0191972255706787","3.0191972255706787","3.0191972255706787"
"57266","3.0517241954803467","3.0517241954803467","3.0517241954803467"
"57882","3.081900119781494","3.081900119781494","3.081900119781494"
"58497","3.1171019077301025","3.1171019077301025","3.1171019077301025"
"59113","3.1849257946014404","3.1849257946014404","3.1849257946014404"
"59729","3.1827175617218018","3.1827175617218018","3.1827175617218018"
"60345","3.1994776725769043","3.1994776725769043","3.1994776725769043"
"60961","3.1815245151519775","3.1815245151519775","3.1815245151519775"
